ResponseId	Q120	MainBranch	Age	Employment	RemoteWork	CodingActivities	YearsCode	YearsCodePro	Country	Currency	CompTotal	LanguageHaveWorkedWith	LanguageWantToWorkWith	AISearchHaveWorkedWith	AISearchWantToWorkWith	AIDevHaveWorkedWith	AIDevWantToWorkWith	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOComm	SOAI	AISelect	AISent	AIAcc	AIBen	AIToolInterested in Using	AIToolCurrently Using	AIToolNot interested in Using	AINextVery different	AINextNeither different nor similar	AINextSomewhat similar	AINextVery similar	AINextSomewhat different	TBranch	ICorPM	WorkExp	Knowledge_1	Knowledge_2	Knowledge_3	Knowledge_4	Knowledge_5	Knowledge_6	Knowledge_7	Knowledge_8	Frequency_1	Frequency_2	Frequency_3	TimeSearching	TimeAnswering	ProfessionalTech	Industry	SurveyLength	SurveyEase	SalaryUSD
3866	I agree	I code primarily as a hobby	Under 18 years old	Student, part-time			5.0		Egypt			HTML/CSS;JavaScript;PHP;SQL	HTML/CSS;JavaScript;SQL;TypeScript					Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Yes, somewhat		No, and I don't plan to																														Appropriate in length	Neither easy nor difficult	
4341	I agree	I am learning to code	18-24 years old	Student, full-time			2.0		Egypt			HTML/CSS;JavaScript;PHP;Python;SQL	HTML/CSS;JavaScript;PHP;SQL	ChatGPT;You.com	ChatGPT;You.com			Stack Overflow;Stack Exchange	A few times per month or weekly	Yes	Less than once per month or monthly	Yes, somewhat	It could help if it could know better which questions are duplicated and which are not.	No, but I plan to soon	Favorable		Neither trust nor distrust																											Appropriate in length	Easy	
5518	I agree	I am a developer by profession	25-34 years old	Not employed, but looking for work			7.0		Egypt			Kotlin	Dart;Kotlin	ChatGPT	ChatGPT			Stack Overflow;Stack Exchange;Collectives on Stack Overflow	Multiple times per day	Yes	Daily or almost daily	Yes, definitely	AI currently cannot guarantee the correctness of the answer, unlike a person who can test the answer before sending it. Any person can use AI if necessary, like a search engine	Yes	Favorable	Increase productivity;Greater efficiency;Speed up learning	Neither trust nor distrust	Project planning;Writing code;Debugging and getting help;Testing code	Project planning;Testing code			Project planning;Testing code																						Appropriate in length	Easy	
5541	I agree	I am a developer by profession	25-34 years old	Employed, full-time	Remote	Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work	15.0	7	Egypt	"EGP	Egyptian pound"	260000.0	C;C#;C++;HTML/CSS;JavaScript;PHP;SQL;Visual Basic (.Net)	C#;SQL	Bing AI				Stack Overflow	A few times per week	Yes	Less than once per month or monthly	Neutral	no opinion	No, but I plan to soon	Indifferent		Somewhat distrust									True	Individual contributor	10.0	Agree	Strongly agree	Agree	Neither agree nor disagree	Agree	Agree	Agree	Neither agree nor disagree	Never	1-2 times a week	Never	15-30 minutes a day	Less than 15 minutes a day	None of these	Healthcare	Appropriate in length	Neither easy nor difficult	8441.0
7171	I agree	I am a developer by profession	25-34 years old	Employed, full-time	Remote	Hobby;Contribute to open-source projects	5.0	1	Egypt	"EGP	Egyptian pound"		HTML/CSS;JavaScript;Rust;TypeScript	HTML/CSS;JavaScript;Rust;TypeScript					Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Neutral		No, and I don't plan to												True	Individual contributor	1.0	Neither agree nor disagree	Agree	Neither agree nor disagree	Agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Agree	1-2 times a week	1-2 times a week	1-2 times a week	60-120 minutes a day	30-60 minutes a day	DevOps function		Too long	Neither easy nor difficult	
7208	I agree	I am a developer by profession	35-44 years old	Employed, full-time	Hybrid (some remote, some in-person)	Hobby;Professional development or self-paced learning from online courses	13.0	12	Egypt	"EGP	Egyptian pound"		HTML/CSS;JavaScript;TypeScript	HTML/CSS;TypeScript					Stack Overflow	A few times per week	Yes	Less than once per month or monthly	Yes, somewhat		No, but I plan to soon	Indifferent		Neither trust nor distrust									True	Individual contributor	12.0	Strongly agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Neither agree nor disagree	Never	1-2 times a week	3-5 times a week	30-60 minutes a day	15-30 minutes a day	DevOps function;Microservices;Developer portal or other central places to find tools/services;AI-assisted technology tool(s)	Information Services, IT, Software Development, or other Technology	Appropriate in length	Easy	
7668	I agree	I am a developer by profession	35-44 years old	Independent contractor, freelancer, or self-employed	In-person	I don’t code outside of work	8.0	2	Egypt	"EGP	Egyptian pound"		JavaScript;PHP;TypeScript	JavaScript;Kotlin;TypeScript					Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	No, not really	nice	No, but I plan to soon	Unfavorable		Neither trust nor distrust																											Appropriate in length	Easy	
9624	I agree	I am a developer by profession	35-44 years old	Independent contractor, freelancer, or self-employed;Not employed, but looking for work	Remote	Hobby;Professional development or self-paced learning from online courses;Freelance/contract work	2.0		Egypt			HTML/CSS;JavaScript;TypeScript	HTML/CSS;JavaScript;PHP;TypeScript					Stack Overflow;Stack Exchange;Collectives on Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	Neutral		No, but I plan to soon	Unfavorable		Somewhat trust																											Appropriate in length	Easy	
11424	I agree	I am a developer by profession	18-24 years old	Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time	Remote	Hobby;Contribute to open-source projects;Freelance/contract work	4.0	3	Egypt	"EGP	Egyptian pound"	200000.0	HTML/CSS;JavaScript;PowerShell;TypeScript	HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript	Bing AI;ChatGPT	Bing AI;ChatGPT			Stack Overflow	A few times per week	Yes	I have never participated in Q&A on Stack Overflow	Neutral	it may help to find relative ideas in other projamming languages	Yes	Favorable	Increase productivity;Greater efficiency;Speed up learning	Neither trust nor distrust	Learning about a codebase;Project planning;Testing code;Committing and reviewing code;Collaborating with teammates 	Writing code;Documenting code;Debugging and getting help	Deployment and monitoring		Writing code;Documenting code;Debugging and getting help	Debugging and getting help			True	Individual contributor	4.0	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Never	Never	1-2 times a week	15-30 minutes a day	Less than 15 minutes a day	Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery	Advertising Services	Appropriate in length	Neither easy nor difficult	6493.0
11519	I agree	I am learning to code	18-24 years old	Student, full-time			2.0		Egypt			C;C++;HTML/CSS;Java;Lua;Python	C;C++;HTML/CSS;Lua;Python	Bing AI;ChatGPT;Quora Poe;WolframAlpha;You.com	Bing AI;ChatGPT;Quora Poe;WolframAlpha;You.com	Replit Ghostwriter	Replit Ghostwriter	Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	No, not really		No, but I plan to soon	Very favorable		Neither trust nor distrust																											Appropriate in length	Easy	
11597	I agree	I am a developer by profession	25-34 years old	Employed, full-time	In-person	Freelance/contract work	9.0	5	Egypt	"EGP	Egyptian pound"		C#;HTML/CSS;JavaScript;TypeScript		Bing AI;ChatGPT;Google Bard AI				Stack Overflow	A few times per week	Yes	A few times per month or weekly	Not sure	It could help alot, because i used to use only stack overflow but now I don’t use it too much because I use chat gpt and new bing ai and google ai	Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration	Highly trust	Learning about a codebase;Project planning;Documenting code;Deployment and monitoring;Collaborating with teammates 	Writing code;Debugging and getting help;Testing code;Committing and reviewing code		Debugging and getting help;Testing code;Committing and reviewing code				Writing code	False																		Appropriate in length	Easy	
11622	I agree	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	I don’t code outside of work	7.0	7	Egypt	"USD	United States dollar"	45000.0	Python	Python					Stack Overflow;Stack Exchange	A few times per week	Not sure/can't remember		Neutral		No, but I plan to soon	Unsure		Neither trust nor distrust									True	People manager	10.0	Strongly agree	Disagree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	1-2 times a week	10+ times a week	1-2 times a week	30-60 minutes a day	60-120 minutes a day	Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery	Insurance	Too long	Easy	45000.0
11640	I agree	I am a developer by profession	18-24 years old	Not employed, but looking for work			4.0		Egypt			Python	Python	Bing AI;ChatGPT;Google Bard AI;Phind	Bing AI;ChatGPT;Google Bard AI;Phind			Stack Overflow	A few times per week	Yes	Multiple times per day	Yes, somewhat	As everything now it's a must not option	Yes	Favorable	Increase productivity	Somewhat trust	Writing code;Documenting code;Committing and reviewing code	Writing code;Documenting code;Committing and reviewing code						Writing code																			Too long	Neither easy nor difficult	
11732	I agree	I am learning to code	25-34 years old	Not employed, but looking for work;Employed, part-time	Remote	Hobby;Contribute to open-source projects;Freelance/contract work	1.0		Egypt			Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL	Clojure;Cobol;TypeScript	Bing AI	ChatGPT;Google Bard AI			Stack Overflow	A few times per week	Yes	A few times per week	Yes, somewhat	Update info	Yes	Indifferent	Speed up learning	Somewhat distrust	Learning about a codebase;Project planning;Debugging and getting help;Committing and reviewing code	Writing code;Documenting code	Testing code;Deployment and monitoring;Collaborating with teammates 		Writing code			Documenting code																			Too short	Neither easy nor difficult	
11798	I agree	I code primarily as a hobby	Under 18 years old	Student, full-time			8.0		Egypt			C;C#;C++;Go;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript	Elixir;Fortran;Go;HTML/CSS;JavaScript;Python;Ruby;Rust;TypeScript	ChatGPT	ChatGPT	GitHub Copilot	GitHub Copilot	Stack Overflow	A few times per week	Yes	I have never participated in Q&A on Stack Overflow	No, not really		Yes	Very favorable	Increase productivity	Neither trust nor distrust	Testing code;Deployment and monitoring	Learning about a codebase;Writing code;Documenting code		Writing code				Learning about a codebase;Documenting code																			Appropriate in length	Easy	
11890	I agree	I code primarily as a hobby	35-44 years old	Employed, full-time	Hybrid (some remote, some in-person)	Bootstrapping a business;Professional development or self-paced learning from online courses	14.0		Egypt			Java;Kotlin;SQL	Java;Kotlin;SQL;Swift					Stack Overflow;Stack Exchange	Multiple times per day	Yes	Multiple times per day	Yes, definitely	I see it doing a good job; just probably the suggested relevant questions need to be more engaged	No, but I plan to soon	Favorable		Neither trust nor distrust									False																		Appropriate in length	Easy	
11988	I agree	I am a developer by profession	25-34 years old	Independent contractor, freelancer, or self-employed	Remote	Freelance/contract work	6.0	5	Egypt	"USD	United States dollar"	30000.0	HTML/CSS;JavaScript	HTML/CSS;JavaScript	ChatGPT;Google Bard AI	ChatGPT			Stack Overflow	A few times per month or weekly	Yes	Less than once per month or monthly	No, not really		No, but I plan to soon	Favorable		Somewhat distrust																											Appropriate in length	Easy	30000.0
12036	I agree	I am learning to code	18-24 years old	Student, part-time			1.0		Egypt			C++;HTML/CSS;Python		Bing AI				Stack Overflow	A few times per week	Yes	I have never participated in Q&A on Stack Overflow	No, not at all	Is good	No, but I plan to soon	Favorable		Highly trust																											Too long	Easy	
12143	I agree	I am a developer by profession	Under 18 years old	Employed, part-time;Student, part-time	Hybrid (some remote, some in-person)	Hobby;Professional development or self-paced learning from online courses;Freelance/contract work	5.0		Egypt			C#;HTML/CSS;JavaScript;SQL	PHP;Python;TypeScript					Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	Yes, definitely	It could provide faster and better responses to qustions and provide ir link answers from other questions to users whom are stuck or looking for a fast solution	No, but I plan to soon	Favorable		Somewhat trust																											Too long	Easy	
12200	I agree	I am learning to code	18-24 years old	Not employed, but looking for work			0.0		Egypt									Stack Overflow	Daily or almost daily	No		Yes, definitely	ان يتوافر كل شئ	No, but I plan to soon	Indifferent		Somewhat distrust																											Too long	Easy	
12246	I agree	I am learning to code	18-24 years old	Student, part-time			2.0		Egypt			Bash/Shell (all shells);C#;JavaScript	Dart;JavaScript;TypeScript					Stack Overflow	Daily or almost daily	Not sure/can't remember		No, not really		Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration	Somewhat trust	Learning about a codebase;Project planning;Documenting code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates 	Writing code;Debugging and getting help;Testing code						Writing code																			Appropriate in length	Neither easy nor difficult	
13075	I agree	I code primarily as a hobby	Under 18 years old	Student, part-time			4.0		Egypt			Assembly;Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;Rust;SQL	Assembly;Bash/Shell (all shells);C;HTML/CSS;Python;Rust	Quora Poe	Quora Poe	GitHub Copilot	GitHub Copilot	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Yes, somewhat	idk	Yes	Unsure	Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding	Somewhat trust		Learning about a codebase;Project planning;Writing code;Debugging and getting help		Learning about a codebase;Project planning;Writing code;Debugging and getting help																							Appropriate in length	Neither easy nor difficult	
13411	I agree	I am a developer by profession	35-44 years old	Employed, full-time	In-person	Contribute to open-source projects;School or academic work	10.0	5	Egypt	"EGP	Egyptian pound"		Assembly;C#;C++;HTML/CSS;Java;JavaScript;Prolog;SQL	MATLAB;PowerShell;Python					Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)	A few times per week	Not sure/can't remember		Yes, somewhat		Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding		Project planning;Documenting code;Debugging and getting help;Testing code	Writing code						Writing code	True	Individual contributor	11.0	Agree	Neither agree nor disagree	Strongly agree	Agree	Agree	Neither agree nor disagree	Agree	Agree	1-2 times a week	Never	1-2 times a week	Less than 15 minutes a day		Innersource initiative;AI-assisted technology tool(s)	Higher Education	Too long	Easy	
13748	I agree	I am a developer by profession	35-44 years old	Independent contractor, freelancer, or self-employed	Hybrid (some remote, some in-person)	Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses	20.0	15	Egypt	"USD	United States dollar"		C;C++;Go;Java;Python	C;C++;Python;Rust					Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Neutral		No, but I plan to soon	Unsure		Neither trust nor distrust																											Appropriate in length	Neither easy nor difficult	
14091	I agree	I am a developer by profession	18-24 years old	Employed, part-time	In-person	Professional development or self-paced learning from online courses;School or academic work	3.0	Less than 1 year	Egypt	"EGP	Egyptian pound"	18000.0	Assembly;Bash/Shell (all shells);C;C++;Groovy;Haskell;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;PowerShell;Python;SQL	Dart;Go;Rust;Swift;TypeScript	Bing AI;ChatGPT	Google Bard AI			Stack Overflow;Stack Exchange	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	Neutral		Yes	Favorable	Increase productivity	Neither trust nor distrust									True	Individual contributor	1.0	Strongly agree														Information Services, IT, Software Development, or other Technology	Appropriate in length	Difficult	584.0
14130	I agree	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Hobby	9.0	5	Egypt	"EGP	Egyptian pound"	700000.0	C++;Go;PHP;Python	C++;Java;Python;Rust					Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Neutral	It's okay as long as it's controlled and supervised	No, and I don't plan to												True	Individual contributor	5.0	Agree	Strongly agree	Agree	Disagree	Agree	Strongly agree	Agree	Neither agree nor disagree	Never	1-2 times a week	3-5 times a week	30-60 minutes a day	60-120 minutes a day	DevOps function;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery	Information Services, IT, Software Development, or other Technology	Appropriate in length	Neither easy nor difficult	22726.0
14555	I agree	I am a developer by profession	45-54 years old	Employed, full-time	In-person	I don’t code outside of work	30.0	30	Egypt	"EGP	Egyptian pound"	460000.0	HTML/CSS;Java;JavaScript;SAS;SQL		Bing AI	ChatGPT			Stack Overflow	A few times per week	Not sure/can't remember		Neutral		No, but I plan to soon	Unfavorable		Neither trust nor distrust									False																		Appropriate in length	Neither easy nor difficult	14934.0
15083	I agree	I am learning to code	55-64 years old	Independent contractor, freelancer, or self-employed;Not employed, but looking for work;Employed, part-time	Remote	Contribute to open-source projects;Bootstrapping a business;Freelance/contract work;School or academic work	2.0		Egypt							GitHub Copilot;Synk Code	GitHub Copilot;Synk Code	Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Collectives on Stack Overflow	Daily or almost daily	No		No, not at all	we need more and more from solving form.to increase our experiences	Yes	Indifferent	Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration	Highly trust	Writing code	Writing code						Writing code																			Appropriate in length	Neither easy nor difficult	
15427	I agree	I am a developer by profession	25-34 years old	Employed, full-time	In-person	Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses	9.0	5	Egypt	"EGP	Egyptian pound"		C++;HTML/CSS;JavaScript;PHP;Python		ChatGPT;Google Bard AI		GitHub Copilot;Synk Code		Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Neutral	I think you can use AI through analyzing and verifying answers through stack over flow	No, but I plan to soon	Unfavorable		Somewhat trust									False																		Appropriate in length	Neither easy nor difficult	
15437	I agree	I am a developer by profession	18-24 years old	Employed, full-time;Employed, part-time	Hybrid (some remote, some in-person)	Hobby;Professional development or self-paced learning from online courses	6.0	2	Egypt	"EGP	Egyptian pound"		HTML/CSS;JavaScript	HTML/CSS;JavaScript;TypeScript	ChatGPT	ChatGPT			Stack Overflow;Stack Exchange	A few times per week	Yes	A few times per week	Yes, somewhat	Stack overflow is a huge data mine for AI. So, I am not sure about it. But my guess is that it can help in search engine and in automatically editing tags, question to be better	Yes	Unfavorable	Increase productivity;Greater efficiency	Somewhat trust		Writing code;Testing code	Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates 					Writing code	False																		Appropriate in length	Easy	
15514	I agree	I am a developer by profession	18-24 years old	Employed, full-time	Remote	Contribute to open-source projects;Freelance/contract work	4.0	3	Egypt	"SAR	Saudi Arabian riyal"		C;C#;HTML/CSS;JavaScript;PHP;Python	Dart;Go	ChatGPT	Google Bard AI	GitHub Copilot	GitHub Copilot	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Less than once per month or monthly	Neutral		Yes	Very favorable	Greater efficiency	Somewhat trust	Testing code;Committing and reviewing code	Learning about a codebase;Writing code;Documenting code;Deployment and monitoring	Project planning;Documenting code;Debugging and getting help					Learning about a codebase;Writing code;Documenting code;Deployment and monitoring	False																		Too long	Easy	
15957	I agree	I am a developer by profession	35-44 years old	Employed, full-time	In-person	Freelance/contract work	27.0	24	Egypt	"EGP	Egyptian pound"	180000.0	Assembly;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL;VBA;Visual Basic (.Net)	C#;HTML/CSS;JavaScript;PHP;Python;SQL;VBA;Visual Basic (.Net)					Stack Overflow	A few times per month or weekly	Not sure/can't remember		Yes, somewhat	Code Correction	No, but I plan to soon	Unsure		Neither trust nor distrust									True	Individual contributor	20.0	Neither agree nor disagree	Strongly agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Never	1-2 times a week	1-2 times a week	15-30 minutes a day	Less than 15 minutes a day	None of these	Manufacturing, Transportation, or Supply Chain	Appropriate in length	Neither easy nor difficult	5844.0
16479	I agree	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Professional development or self-paced learning from online courses;Freelance/contract work	8.0	4	Egypt	"USD	United States dollar"		Java	Java;JavaScript;Python					Stack Overflow;Stack Exchange	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	Neutral	I am not working with AI currently	No, but I plan to soon	Indifferent		Somewhat trust									False																		Appropriate in length	Easy	
